sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0131,2.9869,-0.0131,0.0,1.0,0
1,0.0167,0.0,0.0158,2.9711,-0.0158,0.004363,0.99999,0
2,0.0333,0.0,0.0161,2.955,-0.0161,0.008727,0.999962,0
3,0.05,0.0,0.015,2.94,-0.015,0.01309,0.999914,0
4,0.0667,0.0,0.0176,2.9224,-0.0176,0.017452,0.999848,0
5,0.0833,0.0,0.0205,2.9019,-0.0205,0.021815,0.999762,0
6,0.1,0.0,0.0213,2.8806,-0.0213,0.026177,0.999657,0
7,0.1167,0.0,0.0149,2.8657,-0.0149,0.030539,0.999534,0
8,0.1333,0.0,0.0148,2.8509,-0.0148,0.034899,0.999391,0
9,0.15,0.0,0.0187,2.8322,-0.0187,0.03926,0.999229,0
10,0.1667,0.0,0.0178,2.8144,-0.0178,0.043619,0.999048,0
11,0.1833,0.0,0.0151,2.7993,-0.0151,0.047978,0.998848,0
12,0.2,0.0,0.0165,2.7828,-0.0165,0.052336,0.99863,0
13,0.2167,0.0,0.0168,2.766,-0.0168,0.056693,0.998392,0
14,0.2333,0.0,0.0121,2.7539,-0.0121,0.061049,0.998135,0
15,0.25,0.0,0.0167,2.7372,-0.0167,0.065403,0.997859,0
16,0.2667,0.0,0.0181,2.7191,-0.0181,0.069756,0.997564,0
17,0.2833,0.0,0.0154,2.7037,-0.0154,0.074108,0.99725,0
18,0.3,0.0,0.0146,2.6891,-0.0146,0.078459,0.996917,0
19,0.3167,0.0,0.0148,2.6743,-0.0148,0.082808,0.996566,0
20,0.3333,0.0,0.0166,2.6577,-0.0166,0.087156,0.996195,0
21,0.35,0.0,0.0165,2.6412,-0.0165,0.091502,0.995805,0
22,0.3667,0.0,0.0167,2.6245,-0.0167,0.095846,0.995396,0
23,0.3833,0.0,0.0154,2.6091,-0.0154,0.100188,0.994969,0
24,0.4,0.0,0.0161,2.593,-0.0161,0.104528,0.994522,0
25,0.4167,0.0,0.018,2.575,-0.018,0.108867,0.994056,0
26,0.4333,0.0,0.0155,2.5595,-0.0155,0.113203,0.993572,0
27,0.45,0.0,0.0153,2.5442,-0.0153,0.117537,0.993068,0
28,0.4667,0.0,0.0167,2.5275,-0.0167,0.121869,0.992546,0
29,0.4833,0.0,0.0141,2.5134,-0.0141,0.126199,0.992005,0
30,0.5,0.0,0.018,2.4954,-0.018,0.130526,0.991445,0
31,0.5167,0.0,0.0197,2.4757,-0.0197,0.134851,0.990866,0
32,0.5333,0.0,0.0172,2.4585,-0.0172,0.139173,0.990268,0
33,0.55,0.0,0.0163,2.4422,-0.0163,0.143493,0.989651,0
34,0.5667,0.0,0.0184,2.4238,-0.0184,0.147809,0.989016,0
35,0.5833,0.0,0.0167,2.4071,-0.0167,0.152123,0.988362,0
36,0.6,0.0,0.0163,2.3908,-0.0163,0.156434,0.987688,0
37,0.6167,0.0,0.0167,2.3741,-0.0167,0.160743,0.986996,0
38,0.6333,0.0,0.0152,2.3589,-0.0152,0.165048,0.986286,0
39,0.65,0.0,0.0168,2.3421,-0.0168,0.16935,0.985556,0
40,0.6667,0.0,0.017,2.3251,-0.017,0.173648,0.984808,0
41,0.6833,0.0,0.0172,2.3079,-0.0172,0.177944,0.984041,0
42,0.7,0.0,0.0176,2.2903,-0.0176,0.182236,0.983255,0
43,0.7167,0.0,0.0187,2.2716,-0.0187,0.186524,0.98245,0
44,0.7333,0.0,0.015,2.2566,-0.015,0.190809,0.981627,0
45,0.75,0.0,0.0183,2.2383,-0.0183,0.19509,0.980785,0
46,0.7667,0.0,0.017,2.2213,-0.017,0.199368,0.979925,0
47,0.7833,0.0,0.0175,2.2038,-0.0175,0.203642,0.979045,0
48,0.8,0.0,0.0168,2.187,-0.0168,0.207912,0.978148,0
49,0.8167,0.0,0.016,2.171,-0.016,0.212178,0.977231,0
50,0.8333,0.0,0.0178,2.1532,-0.0178,0.21644,0.976296,0
51,0.85,0.0,0.0136,2.1396,-0.0136,0.220697,0.975342,0
52,0.8667,0.0,0.0158,2.1238,-0.0158,0.224951,0.97437,0
53,0.8833,0.0,0.019,2.1048,-0.019,0.2292,0.973379,0
54,0.9,0.0,0.0164,2.0884,-0.0164,0.233445,0.97237,0
55,0.9167,0.0,0.0159,2.0725,-0.0159,0.237686,0.971342,0
56,0.9333,0.0,0.0189,2.0536,-0.0189,0.241922,0.970296,0
57,0.95,0.0,0.0201,2.0335,-0.0201,0.246153,0.969231,0
58,0.9667,0.0,0.0165,2.017,-0.0165,0.25038,0.968148,0
59,0.9833,0.0,0.0159,2.0011,-0.0159,0.254602,0.967046,0
60,1.0,0.0,0.0172,1.9839,-0.0172,0.258819,0.965926,0
61,1.0167,0.0,0.0199,1.964,-0.0199,0.263031,0.964787,0
62,1.0333,0.0,0.0165,1.9475,-0.0165,0.267238,0.96363,0
