sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0148,3.9852,-0.0148,0.0,1.0,0
1,0.0167,0.0,0.0161,3.9691,-0.0161,0.004363,0.99999,0
2,0.0333,0.0,0.0129,3.9562,-0.0129,0.008727,0.999962,0
3,0.05,0.0,0.0162,3.94,-0.0162,0.01309,0.999914,0
4,0.0667,0.0,0.0167,3.9233,-0.0167,0.017452,0.999848,0
5,0.0833,0.0,0.0183,3.905,-0.0183,0.021815,0.999762,0
6,0.1,0.0,0.0171,3.8879,-0.0171,0.026177,0.999657,0
7,0.1167,0.0,0.0159,3.872,-0.0159,0.030539,0.999534,0
8,0.1333,0.0,0.0152,3.8568,-0.0152,0.034899,0.999391,0
9,0.15,0.0,0.0135,3.8433,-0.0135,0.03926,0.999229,0
10,0.1667,0.0,0.0135,3.8298,-0.0135,0.043619,0.999048,0
11,0.1833,0.0,0.0115,3.8183,-0.0115,0.047978,0.998848,0
12,0.2,0.0,0.0126,3.8057,-0.0126,0.052336,0.99863,0
13,0.2167,0.0,0.0143,3.7914,-0.0143,0.056693,0.998392,0
14,0.2333,0.0,0.0151,3.7763,-0.0151,0.061049,0.998135,0
15,0.25,0.0,0.0132,3.7631,-0.0132,0.065403,0.997859,0
16,0.2667,0.0,0.0187,3.7444,-0.0187,0.069756,0.997564,0
17,0.2833,0.0,0.0153,3.7291,-0.0153,0.074108,0.99725,0
18,0.3,0.0,0.0151,3.714,-0.0151,0.078459,0.996917,0
19,0.3167,0.0,0.0121,3.7019,-0.0121,0.082808,0.996566,0
20,0.3333,0.0,0.0137,3.6882,-0.0137,0.087156,0.996195,0
21,0.35,0.0,0.0176,3.6706,-0.0176,0.091502,0.995805,0
22,0.3667,0.0,0.015,3.6556,-0.015,0.095846,0.995396,0
23,0.3833,0.0,0.0163,3.6393,-0.0163,0.100188,0.994969,0
24,0.4,0.0,0.0136,3.6257,-0.0136,0.104528,0.994522,0
25,0.4167,0.0,0.0154,3.6103,-0.0154,0.108867,0.994056,0
26,0.4333,0.0,0.0177,3.5926,-0.0177,0.113203,0.993572,0
27,0.45,0.0,0.0174,3.5752,-0.0174,0.117537,0.993068,0
28,0.4667,0.0,0.0165,3.5587,-0.0165,0.121869,0.992546,0
29,0.4833,0.0,0.0152,3.5435,-0.0152,0.126199,0.992005,0
30,0.5,0.0,0.0142,3.5293,-0.0142,0.130526,0.991445,0
31,0.5167,0.0,0.0156,3.5137,-0.0156,0.134851,0.990866,0
32,0.5333,0.0,0.0142,3.4995,-0.0142,0.139173,0.990268,0
33,0.55,0.0,0.0123,3.4872,-0.0123,0.143493,0.989651,0
34,0.5667,0.0,0.0168,3.4704,-0.0168,0.147809,0.989016,0
35,0.5833,0.0,0.0146,3.4558,-0.0146,0.152123,0.988362,0
36,0.6,0.0,0.0139,3.4419,-0.0139,0.156434,0.987688,0
37,0.6167,0.0,0.0149,3.427,-0.0149,0.160743,0.986996,0
38,0.6333,0.0,0.0158,3.4112,-0.0158,0.165048,0.986286,0
39,0.65,0.0,0.017,3.3942,-0.017,0.16935,0.985556,0
40,0.6667,0.0,0.015,3.3792,-0.015,0.173648,0.984808,0
41,0.6833,0.0,0.0143,3.3649,-0.0143,0.177944,0.984041,0
42,0.7,0.0,0.0143,3.3506,-0.0143,0.182236,0.983255,0
43,0.7167,0.0,0.0147,3.3359,-0.0147,0.186524,0.98245,0
44,0.7333,0.0,0.0145,3.3214,-0.0145,0.190809,0.981627,0
45,0.75,0.0,0.0148,3.3066,-0.0148,0.19509,0.980785,0
46,0.7667,0.0,0.014,3.2926,-0.014,0.199368,0.979925,0
