sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0139,2.9861,-0.0139,0.0,1.0,0
1,0.0167,0.0,0.0118,2.9743,-0.0118,0.004363,0.99999,0
2,0.0333,0.0,0.0129,2.9614,-0.0129,0.008727,0.999962,0
3,0.05,0.0,0.0187,2.9427,-0.0187,0.01309,0.999914,0
4,0.0667,0.0,0.0129,2.9298,-0.0129,0.017452,0.999848,0
5,0.0833,0.0,0.0125,2.9173,-0.0125,0.021815,0.999762,0
6,0.1,0.0,0.015,2.9023,-0.015,0.026177,0.999657,0
7,0.1167,0.0,0.0119,2.8904,-0.0119,0.030539,0.999534,0
8,0.1333,0.0,0.0158,2.8746,-0.0158,0.034899,0.999391,0
9,0.15,0.0,0.011,2.8636,-0.011,0.03926,0.999229,0
10,0.1667,0.0,0.0142,2.8494,-0.0142,0.043619,0.999048,0
11,0.1833,0.0,0.0145,2.8349,-0.0145,0.047978,0.998848,0
12,0.2,0.0,0.0151,2.8198,-0.0151,0.052336,0.99863,0
13,0.2167,0.0,0.0174,2.8024,-0.0174,0.056693,0.998392,0
14,0.2333,0.0,0.016,2.7864,-0.016,0.061049,0.998135,0
15,0.25,0.0,0.0137,2.7727,-0.0137,0.065403,0.997859,0
16,0.2667,0.0,0.0118,2.7609,-0.0118,0.069756,0.997564,0
17,0.2833,0.0,0.0146,2.7463,-0.0146,0.074108,0.99725,0
18,0.3,0.0,0.0146,2.7317,-0.0146,0.078459,0.996917,0
19,0.3167,0.0,0.0143,2.7174,-0.0143,0.082808,0.996566,0
20,0.3333,0.0,0.0146,2.7028,-0.0146,0.087156,0.996195,0
21,0.35,0.0,0.0143,2.6885,-0.0143,0.091502,0.995805,0
22,0.3667,0.0,0.0123,2.6762,-0.0123,0.095846,0.995396,0
23,0.3833,0.0,0.0146,2.6616,-0.0146,0.100188,0.994969,0
24,0.4,0.0,0.0151,2.6465,-0.0151,0.104528,0.994522,0
25,0.4167,0.0,0.0164,2.6301,-0.0164,0.108867,0.994056,0
26,0.4333,0.0,0.017,2.6131,-0.017,0.113203,0.993572,0
27,0.45,0.0,0.0113,2.6018,-0.0113,0.117537,0.993068,0
28,0.4667,0.0,0.0153,2.5865,-0.0153,0.121869,0.992546,0
29,0.4833,0.0,0.0139,2.5726,-0.0139,0.126199,0.992005,0
30,0.5,0.0,0.0162,2.5564,-0.0162,0.130526,0.991445,0
31,0.5167,0.0,0.0162,2.5402,-0.0162,0.134851,0.990866,0
32,0.5333,0.0,0.0144,2.5258,-0.0144,0.139173,0.990268,0
33,0.55,0.0,0.0127,2.5131,-0.0127,0.143493,0.989651,0
34,0.5667,0.0,0.0152,2.4979,-0.0152,0.147809,0.989016,0
35,0.5833,0.0,0.0126,2.4853,-0.0126,0.152123,0.988362,0
36,0.6,0.0,0.0137,2.4716,-0.0137,0.156434,0.987688,0
37,0.6167,0.0,0.0121,2.4595,-0.0121,0.160743,0.986996,0
38,0.6333,0.0,0.0119,2.4476,-0.0119,0.165048,0.986286,0
39,0.65,0.0,0.0149,2.4327,-0.0149,0.16935,0.985556,0
40,0.6667,0.0,0.0146,2.4181,-0.0146,0.173648,0.984808,0
41,0.6833,0.0,0.0127,2.4054,-0.0127,0.177944,0.984041,0
42,0.7,0.0,0.0137,2.3917,-0.0137,0.182236,0.983255,0
43,0.7167,0.0,0.017,2.3747,-0.017,0.186524,0.98245,0
44,0.7333,0.0,0.0129,2.3618,-0.0129,0.190809,0.981627,0
45,0.75,0.0,0.0147,2.3471,-0.0147,0.19509,0.980785,0
46,0.7667,0.0,0.0147,2.3324,-0.0147,0.199368,0.979925,0
47,0.7833,0.0,0.0158,2.3166,-0.0158,0.203642,0.979045,0
48,0.8,0.0,0.0146,2.302,-0.0146,0.207912,0.978148,0
49,0.8167,0.0,0.0151,2.2869,-0.0151,0.212178,0.977231,0
50,0.8333,0.0,0.0173,2.2696,-0.0173,0.21644,0.976296,0
51,0.85,0.0,0.017,2.2526,-0.017,0.220697,0.975342,0
52,0.8667,0.0,0.014,2.2386,-0.014,0.224951,0.97437,0
53,0.8833,0.0,0.0164,2.2222,-0.0164,0.2292,0.973379,0
54,0.9,0.0,0.0151,2.2071,-0.0151,0.233445,0.97237,0
55,0.9167,0.0,0.0152,2.1919,-0.0152,0.237686,0.971342,0
56,0.9333,0.0,0.0149,2.177,-0.0149,0.241922,0.970296,0
57,0.95,0.0,0.0109,2.1661,-0.0109,0.246153,0.969231,0
58,0.9667,0.0,0.0165,2.1496,-0.0165,0.25038,0.968148,0
59,0.9833,0.0,0.0143,2.1353,-0.0143,0.254602,0.967046,0
60,1.0,0.0,0.0174,2.1179,-0.0174,0.258819,0.965926,0
61,1.0167,0.0,0.0158,2.1021,-0.0158,0.263031,0.964787,0
62,1.0333,0.0,0.0155,2.0866,-0.0155,0.267238,0.96363,0
63,1.05,0.0,0.0139,2.0727,-0.0139,0.27144,0.962455,0
64,1.0667,0.0,0.0114,2.0613,-0.0114,0.275637,0.961262,0
65,1.0833,0.0,0.0121,2.0492,-0.0121,0.279829,0.96005,0
66,1.1,0.0,0.0159,2.0333,-0.0159,0.284015,0.95882,0
67,1.1167,0.0,0.0141,2.0192,-0.0141,0.288196,0.957571,0
68,1.1333,0.0,0.0149,2.0043,-0.0149,0.292372,0.956305,0
69,1.15,0.0,0.0118,1.9925,-0.0118,0.296542,0.95502,0
70,1.1667,0.0,0.0156,1.9769,-0.0156,0.300706,0.953717,0
71,1.1833,0.0,0.0141,1.9628,-0.0141,0.304864,0.952396,0
72,1.2,0.0,0.014,1.9488,-0.014,0.309017,0.951057,0
73,1.2167,0.0,0.0155,1.9333,-0.0155,0.313164,0.949699,0
74,1.2333,0.0,0.0069,1.9264,-0.0069,0.317305,0.948324,0
75,1.25,0.0,0.0168,1.9096,-0.0168,0.321439,0.94693,0
76,1.2667,0.0,0.0131,1.8965,-0.0131,0.325568,0.945519,0
77,1.2833,0.0,0.0134,1.8831,-0.0134,0.329691,0.944089,0
78,1.3,0.0,0.0179,1.8652,-0.0179,0.333807,0.942641,0
79,1.3167,0.0,0.0169,1.8483,-0.0169,0.337917,0.941176,0
80,1.3333,0.0,0.0165,1.8318,-0.0165,0.34202,0.939693,0
81,1.35,0.0,0.0175,1.8143,-0.0175,0.346117,0.938191,0
82,1.3667,0.0,0.0145,1.7998,-0.0145,0.350207,0.936672,0
83,1.3833,0.0,0.0124,1.7874,-0.0124,0.354291,0.935135,0
84,1.4,0.0,0.0169,1.7705,-0.0169,0.358368,0.93358,0
85,1.4167,0.0,0.0127,1.7578,-0.0127,0.362438,0.932008,0
86,1.4333,0.0,0.0154,1.7424,-0.0154,0.366501,0.930418,0
87,1.45,0.0,0.0121,1.7303,-0.0121,0.370557,0.92881,0
88,1.4667,0.0,0.0108,1.7195,-0.0108,0.374607,0.927184,0
89,1.4833,0.0,0.0177,1.7018,-0.0177,0.378649,0.925541,0
90,1.5,0.0,0.0123,1.6895,-0.0123,0.382683,0.92388,0
91,1.5167,0.0,0.0154,1.6741,-0.0154,0.386711,0.922201,0
92,1.5333,0.0,0.0159,1.6582,-0.0159,0.390731,0.920505,0
93,1.55,0.0,0.0137,1.6445,-0.0137,0.394744,0.918791,0
94,1.5667,0.0,0.0168,1.6277,-0.0168,0.398749,0.91706,0
95,1.5833,0.0,0.0171,1.6106,-0.0171,0.402747,0.915311,0
96,1.6,0.0,0.0169,1.5937,-0.0169,0.406737,0.913545,0
97,1.6167,0.0,0.0153,1.5784,-0.0153,0.410719,0.911762,0
98,1.6333,0.0,0.0138,1.5646,-0.0138,0.414693,0.909961,0
99,1.65,0.0,0.0118,1.5528,-0.0118,0.41866,0.908143,0
100,1.6667,0.0,0.0162,1.5366,-0.0162,0.422618,0.906308,0
101,1.6833,0.0,0.0135,1.5231,-0.0135,0.426569,0.904455,0
102,1.7,0.0,0.0108,1.5123,-0.0108,0.430511,0.902585,0
103,1.7167,0.0,0.0155,1.4968,-0.0155,0.434445,0.900698,0
104,1.7333,0.0,0.0157,1.4811,-0.0157,0.438371,0.898794,0
105,1.75,0.0,0.0155,1.4656,-0.0155,0.442289,0.896873,0
106,1.7667,0.0,0.0146,1.451,-0.0146,0.446198,0.894934,0
107,1.7833,0.0,0.0141,1.4369,-0.0141,0.450098,0.892979,0
108,1.8,0.0,0.0174,1.4195,-0.0174,0.45399,0.891007,0
109,1.8167,0.0,0.0153,1.4042,-0.0153,0.457874,0.889017,0
110,1.8333,0.0,0.015,1.3892,-0.015,0.461749,0.887011,0
111,1.85,0.0,0.0138,1.3754,-0.0138,0.465615,0.884988,0
112,1.8667,0.0,0.0145,1.3609,-0.0145,0.469472,0.882948,0
113,1.8833,0.0,0.0135,1.3474,-0.0135,0.47332,0.880891,0
114,1.9,0.0,0.0171,1.3303,-0.0171,0.477159,0.878817,0
115,1.9167,0.0,0.0144,1.3159,-0.0144,0.480989,0.876727,0
116,1.9333,0.0,0.0164,1.2995,-0.0164,0.48481,0.87462,0
117,1.95,0.0,0.0121,1.2874,-0.0121,0.488621,0.872496,0
118,1.9667,0.0,0.0143,1.2731,-0.0143,0.492424,0.870356,0
119,1.9833,0.0,0.0121,1.261,-0.0121,0.496217,0.868199,0
120,2.0,0.0,0.0135,1.2475,-0.0135,0.5,0.866025,0
121,2.0167,0.0,0.0178,1.2297,-0.0178,0.503774,0.863836,0
122,2.0333,0.0,0.0155,1.2142,-0.0155,0.507538,0.861629,0
123,2.05,0.0,0.014,1.2002,-0.014,0.511293,0.859406,0
124,2.0667,0.0,0.013,1.1872,-0.013,0.515038,0.857167,0
125,2.0833,0.0,0.0152,1.172,-0.0152,0.518773,0.854912,0
126,2.1,0.0,0.0155,1.1565,-0.0155,0.522499,0.85264,0
127,2.1167,0.0,0.0144,1.1421,-0.0144,0.526214,0.850352,0
128,2.1333,0.0,0.0176,1.1245,-0.0176,0.529919,0.848048,0
129,2.15,0.0,0.0151,1.1094,-0.0151,0.533615,0.845728,0
130,2.1667,0.0,0.0181,1.0913,-0.0181,0.5373,0.843391,0
131,2.1833,0.0,0.0166,1.0747,-0.0166,0.540974,0.841039,0
132,2.2,0.0,0.0133,1.0614,-0.0133,0.544639,0.838671,0
133,2.2167,0.0,0.0166,1.0448,-0.0166,0.548293,0.836286,0
134,2.2333,0.0,0.0121,1.0327,-0.0121,0.551937,0.833886,0
135,2.25,0.0,0.013,1.0197,-0.013,0.55557,0.83147,0
136,2.2667,0.0,0.0141,1.0056,-0.0141,0.559193,0.829038,0
137,2.2833,0.0,0.0148,0.9908,-0.0148,0.562805,0.82659,0
138,2.3,0.0,0.0124,0.9784,-0.0124,0.566406,0.824126,0
139,2.3167,0.0,0.0141,0.9643,-0.0141,0.569997,0.821647,0
140,2.3333,0.0,0.0161,0.9482,-0.0161,0.573576,0.819152,0
141,2.35,0.0,0.0118,0.9364,-0.0118,0.577145,0.816642,0
142,2.3667,0.0,0.0143,0.9221,-0.0143,0.580703,0.814116,0
143,2.3833,0.0,0.0153,0.9068,-0.0153,0.58425,0.811574,0
144,2.4,0.0,0.0112,0.8956,-0.0112,0.587785,0.809017,0
145,2.4167,0.0,0.015,0.8806,-0.015,0.59131,0.806445,0
146,2.4333,0.0,0.0133,0.8673,-0.0133,0.594823,0.803857,0
147,2.45,0.0,0.0157,0.8516,-0.0157,0.598325,0.801254,0
148,2.4667,0.0,0.0143,0.8373,-0.0143,0.601815,0.798636,0
149,2.4833,0.0,0.0101,0.8272,-0.0101,0.605294,0.796002,0
150,2.5,0.0,0.0121,0.8151,-0.0121,0.608761,0.793353,0
151,2.5167,0.0,0.0128,0.8023,-0.0128,0.612217,0.79069,0
152,2.5333,0.0,0.0166,0.7857,-0.0166,0.615661,0.788011,0
153,2.55,0.0,0.0161,0.7696,-0.0161,0.619094,0.785317,0
154,2.5667,0.0,0.0139,0.7557,-0.0139,0.622515,0.782608,0
155,2.5833,0.0,0.0132,0.7425,-0.0132,0.625923,0.779884,0
156,2.6,0.0,0.0147,0.7278,-0.0147,0.62932,0.777146,0
157,2.6167,0.0,0.0148,0.713,-0.0148,0.632705,0.774393,0
158,2.6333,0.0,0.0135,0.6995,-0.0135,0.636078,0.771625,0
159,2.65,0.0,0.0169,0.6826,-0.0169,0.639439,0.768842,0
160,2.6667,0.0,0.0157,0.6669,-0.0157,0.642788,0.766044,0
161,2.6833,0.0,0.0197,0.6472,-0.0197,0.646124,0.763232,0
162,2.7,0.0,0.0168,0.6304,-0.0168,0.649448,0.760406,0
163,2.7167,0.0,0.0126,0.6178,-0.0126,0.65276,0.757565,0
164,2.7333,0.0,0.0163,0.6015,-0.0163,0.656059,0.75471,0
165,2.75,0.0,0.0139,0.5876,-0.0139,0.659346,0.75184,0
166,2.7667,0.0,0.0162,0.5714,-0.0162,0.66262,0.748956,0
167,2.7833,0.0,0.0173,0.5541,-0.0173,0.665882,0.746057,0
168,2.8,0.0,0.016,0.5381,-0.016,0.669131,0.743145,0
169,2.8167,0.0,0.0137,0.5244,-0.0137,0.672367,0.740218,0
170,2.8333,0.0,0.0173,0.5071,-0.0173,0.67559,0.737277,0
171,2.85,0.0,0.0147,0.4924,-0.0147,0.678801,0.734323,0
172,2.8667,0.0,0.0157,0.4767,-0.0157,0.681998,0.731354,0
173,2.8833,0.0,0.0131,0.4636,-0.0131,0.685183,0.728371,0
174,2.9,0.0,0.0157,0.4479,-0.0157,0.688355,0.725374,0
175,2.9167,0.0,0.0142,0.4337,-0.0142,0.691513,0.722364,0
176,2.9333,0.0,0.0146,0.4191,-0.0146,0.694658,0.71934,0
177,2.95,0.0,0.0149,0.4042,-0.0149,0.69779,0.716302,0
178,2.9667,0.0,0.0161,0.3881,-0.0161,0.700909,0.71325,0
179,2.9833,0.0,0.0128,0.3753,-0.0128,0.704015,0.710185,0
180,3.0,0.0,0.0114,0.3639,-0.0114,0.707107,0.707107,0
181,3.0167,0.0,0.0165,0.3474,-0.0165,0.710185,0.704015,0
182,3.0333,0.0,0.0136,0.3338,-0.0136,0.71325,0.700909,0
183,3.05,0.0,0.0158,0.318,-0.0158,0.716302,0.69779,0
184,3.0667,0.0,0.0109,0.3071,-0.0109,0.71934,0.694658,0
185,3.0833,0.0,0.0123,0.2948,-0.0123,0.722364,0.691513,0
186,3.1,0.0,0.014,0.2808,-0.014,0.725374,0.688355,0
187,3.1167,0.0,0.0161,0.2647,-0.0161,0.728371,0.685183,0
188,3.1333,0.0,0.0148,0.2499,-0.0148,0.731354,0.681998,0
189,3.15,0.0,0.0166,0.2333,-0.0166,0.734323,0.678801,0
190,3.1667,0.0,0.0178,0.2155,-0.0178,0.737277,0.67559,0
191,3.1833,0.0,0.0154,0.2001,-0.0154,0.740218,0.672367,0
192,3.2,0.0,0.0123,0.1878,-0.0123,0.743145,0.669131,0
193,3.2167,0.0,0.0157,0.1721,-0.0157,0.746057,0.665882,0
194,3.2333,0.0,0.0138,0.1583,-0.0138,0.748956,0.66262,0
195,3.25,0.0,0.0158,0.1425,-0.0158,0.75184,0.659346,0
196,3.2667,0.0,0.0153,0.1272,-0.0153,0.75471,0.656059,0
197,3.2833,0.0,0.0148,0.1124,-0.0148,0.757565,0.65276,0
198,3.3,0.0,0.0113,0.1011,-0.0113,0.760406,0.649448,0
199,3.3167,0.0,0.019,0.0821,-0.019,0.763232,0.646124,0
200,3.3333,0.0,0.0169,0.0652,-0.0169,0.766044,0.642788,0
201,3.35,0.0,0.0149,0.0503,-0.0149,0.768842,0.639439,0
202,3.3667,0.0,0.0144,0.0359,-0.0144,0.771625,0.636078,0
203,3.3833,0.0,0.0138,0.0221,-0.0138,0.774393,0.632705,0
204,3.4,0.0,0.0138,0.0083,-0.0138,0.777146,0.62932,0
205,3.4167,0.0,0.0143,0.0,-0.0143,0.779884,0.625923,1
206,3.4333,0.0,0.0135,0.0,-0.0135,0.782608,0.622515,1
207,3.45,0.0,0.0127,0.0,-0.0127,0.785317,0.619094,1
208,3.4667,0.0,0.0181,0.0,-0.0181,0.788011,0.615661,1
209,3.4833,0.0,0.0109,0.0,-0.0109,0.79069,0.612217,1
210,3.5,0.0,0.0105,0.0,-0.0105,0.793353,0.608761,1
211,3.5167,0.0,0.0138,0.0,-0.0138,0.796002,0.605294,1
212,3.5333,0.0,0.0122,0.0,-0.0122,0.798636,0.601815,1
213,3.55,0.0,0.0156,0.0,-0.0156,0.801254,0.598325,1
214,3.5667,0.0,0.0138,0.0,-0.0138,0.803857,0.594823,1
215,3.5833,0.0,0.0138,0.0,-0.0138,0.806445,0.59131,1
216,3.6,0.0,0.0128,0.0,-0.0128,0.809017,0.587785,1
217,3.6167,0.0,0.0135,0.0,-0.0135,0.811574,0.58425,1
218,3.6333,0.0,0.0143,0.0,-0.0143,0.814116,0.580703,1
219,3.65,0.0,0.0163,0.0,-0.0163,0.816642,0.577145,1
220,3.6667,0.0,0.0129,0.0,-0.0129,0.819152,0.573576,1
221,3.6833,0.0,0.0116,0.0,-0.0116,0.821647,0.569997,1
222,3.7,0.0,0.0151,0.0,-0.0151,0.824126,0.566406,1
223,3.7167,0.0,0.0169,0.0,-0.0169,0.82659,0.562805,1
224,3.7333,0.0,0.01,0.0,-0.01,0.829038,0.559193,1
225,3.75,0.0,0.0141,0.0,-0.0141,0.83147,0.55557,1
226,3.7667,0.0,0.0123,0.0,-0.0123,0.833886,0.551937,1
227,3.7833,0.0,0.0128,0.0,-0.0128,0.836286,0.548293,1
228,3.8,0.0,0.0158,0.0,-0.0158,0.838671,0.544639,1
229,3.8167,0.0,0.0134,0.0,-0.0134,0.841039,0.540974,1
230,3.8333,0.0,0.013,0.0,-0.013,0.843391,0.5373,1
231,3.85,0.0,0.0144,0.0,-0.0144,0.845728,0.533615,1
232,3.8667,0.0,0.014,0.0,-0.014,0.848048,0.529919,1
233,3.8833,0.0,0.0128,0.0,-0.0128,0.850352,0.526214,1
234,3.9,0.0,0.0117,0.0,-0.0117,0.85264,0.522499,1
235,3.9167,0.0,0.011,0.0,-0.011,0.854912,0.518773,1
236,3.9333,0.0,0.0107,0.0,-0.0107,0.857167,0.515038,1
237,3.95,0.0,0.0129,0.0,-0.0129,0.859406,0.511293,1
238,3.9667,0.0,0.0173,0.0,-0.0173,0.861629,0.507538,1
239,3.9833,0.0,0.0132,0.0,-0.0132,0.863836,0.503774,1
240,4.0,0.0,0.0171,0.0,-0.0171,0.866025,0.5,1
241,4.0167,0.0,0.0148,0.0,-0.0148,0.868199,0.496217,1
242,4.0333,0.0,0.0131,0.0,-0.0131,0.870356,0.492424,1
243,4.05,0.0,0.0171,0.0,-0.0171,0.872496,0.488621,1
244,4.0667,0.0,0.0164,0.0,-0.0164,0.87462,0.48481,1
245,4.0833,0.0,0.0126,0.0,-0.0126,0.876727,0.480989,1
246,4.1,0.0,0.0145,0.0,-0.0145,0.878817,0.477159,1
247,4.1167,0.0,0.0142,0.0,-0.0142,0.880891,0.47332,1
248,4.1333,0.0,0.0137,0.0,-0.0137,0.882948,0.469472,1
249,4.15,0.0,0.0166,0.0,-0.0166,0.884988,0.465615,1
250,4.1667,0.0,0.0078,0.0,-0.0078,0.887011,0.461749,1
251,4.1833,0.0,0.0123,0.0,-0.0123,0.889017,0.457874,1
252,4.2,0.0,0.0141,0.0,-0.0141,0.891007,0.45399,1
253,4.2167,0.0,0.0129,0.0,-0.0129,0.892979,0.450098,1
254,4.2333,0.0,0.0159,0.0,-0.0159,0.894934,0.446198,1
255,4.25,0.0,0.0181,0.0,-0.0181,0.896873,0.442289,1
256,4.2667,0.0,0.0143,0.0,-0.0143,0.898794,0.438371,1
257,4.2833,0.0,0.013,0.0,-0.013,0.900698,0.434445,1
258,4.3,0.0,0.0147,0.0,-0.0147,0.902585,0.430511,1
259,4.3167,0.0,0.0161,0.0,-0.0161,0.904455,0.426569,1
260,4.3333,0.0,0.0139,0.0,-0.0139,0.906308,0.422618,1
261,4.35,0.0,0.0143,0.0,-0.0143,0.908143,0.41866,1
262,4.3667,0.0,0.0125,0.0,-0.0125,0.909961,0.414693,1
263,4.3833,0.0,0.0134,0.0,-0.0134,0.911762,0.410719,1
264,4.4,0.0,0.0143,0.0,-0.0143,0.913545,0.406737,1
265,4.4167,0.0,0.012,0.0,-0.012,0.915311,0.402747,1
266,4.4333,0.0,0.0157,0.0,-0.0157,0.91706,0.398749,1
267,4.45,0.0,0.0136,0.0,-0.0136,0.918791,0.394744,1
268,4.4667,0.0,0.0126,0.0,-0.0126,0.920505,0.390731,1
269,4.4833,0.0,0.0134,0.0,-0.0134,0.922201,0.386711,1
270,4.5,0.0,0.0145,0.0,-0.0145,0.92388,0.382683,1
271,4.5167,0.0,0.0127,0.0,-0.0127,0.925541,0.378649,1
272,4.5333,0.0,0.0159,0.0,-0.0159,0.927184,0.374607,1
273,4.55,0.0,0.0106,0.0,-0.0106,0.92881,0.370557,1
274,4.5667,0.0,0.0169,0.0,-0.0169,0.930418,0.366501,1
275,4.5833,0.0,0.0144,0.0,-0.0144,0.932008,0.362438,1
276,4.6,0.0,0.0142,0.0,-0.0142,0.93358,0.358368,1
277,4.6167,0.0,0.0117,0.0,-0.0117,0.935135,0.354291,1
278,4.6333,0.0,0.0126,0.0,-0.0126,0.936672,0.350207,1
279,4.65,0.0,0.0184,0.0,-0.0184,0.938191,0.346117,1
280,4.6667,0.0,0.0149,0.0,-0.0149,0.939693,0.34202,1
