sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0243,4.9757,-0.0243,0.0,1.0,0
1,0.0167,0.0,0.0228,4.9529,-0.0228,0.004363,0.99999,0
2,0.0333,0.0,0.0183,4.9346,-0.0183,0.008727,0.999962,0
3,0.05,0.0,0.0195,4.9151,-0.0195,0.01309,0.999914,0
4,0.0667,0.0,0.0209,4.8942,-0.0209,0.017452,0.999848,0
5,0.0833,0.0,0.0216,4.8726,-0.0216,0.021815,0.999762,0
6,0.1,0.0,0.0216,4.851,-0.0216,0.026177,0.999657,0
7,0.1167,0.0,0.0219,4.8291,-0.0219,0.030539,0.999534,0
8,0.1333,0.0,0.0206,4.8085,-0.0206,0.034899,0.999391,0
9,0.15,0.0,0.0203,4.7882,-0.0203,0.03926,0.999229,0
10,0.1667,0.0,0.0224,4.7658,-0.0224,0.043619,0.999048,0
11,0.1833,0.0,0.0205,4.7453,-0.0205,0.047978,0.998848,0
12,0.2,0.0,0.0225,4.7228,-0.0225,0.052336,0.99863,0
13,0.2167,0.0,0.0211,4.7017,-0.0211,0.056693,0.998392,0
14,0.2333,0.0,0.0194,4.6823,-0.0194,0.061049,0.998135,0
15,0.25,0.0,0.0234,4.6589,-0.0234,0.065403,0.997859,0
16,0.2667,0.0,0.0209,4.638,-0.0209,0.069756,0.997564,0
17,0.2833,0.0,0.0205,4.6175,-0.0205,0.074108,0.99725,0
18,0.3,0.0,0.0227,4.5948,-0.0227,0.078459,0.996917,0
19,0.3167,0.0,0.0233,4.5715,-0.0233,0.082808,0.996566,0
20,0.3333,0.0,0.0213,4.5502,-0.0213,0.087156,0.996195,0
21,0.35,0.0,0.0198,4.5304,-0.0198,0.091502,0.995805,0
22,0.3667,0.0,0.0196,4.5108,-0.0196,0.095846,0.995396,0
23,0.3833,0.0,0.018,4.4928,-0.018,0.100188,0.994969,0
24,0.4,0.0,0.0208,4.472,-0.0208,0.104528,0.994522,0
25,0.4167,0.0,0.0214,4.4506,-0.0214,0.108867,0.994056,0
26,0.4333,0.0,0.0231,4.4275,-0.0231,0.113203,0.993572,0
27,0.45,0.0,0.0233,4.4042,-0.0233,0.117537,0.993068,0
28,0.4667,0.0,0.0219,4.3823,-0.0219,0.121869,0.992546,0
29,0.4833,0.0,0.0246,4.3577,-0.0246,0.126199,0.992005,0
