sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0154,2.9846,-0.0154,0.0,1.0,0
1,0.0167,0.0,0.0175,2.9671,-0.0175,0.004363,0.99999,0
2,0.0333,0.0,0.013,2.9541,-0.013,0.008727,0.999962,0
3,0.05,0.0,0.0136,2.9405,-0.0136,0.01309,0.999914,0
4,0.0667,0.0,0.0173,2.9232,-0.0173,0.017452,0.999848,0
5,0.0833,0.0,0.0156,2.9076,-0.0156,0.021815,0.999762,0
6,0.1,0.0,0.0146,2.893,-0.0146,0.026177,0.999657,0
7,0.1167,0.0,0.0151,2.8779,-0.0151,0.030539,0.999534,0
8,0.1333,0.0,0.0137,2.8642,-0.0137,0.034899,0.999391,0
9,0.15,0.0,0.0145,2.8497,-0.0145,0.03926,0.999229,0
10,0.1667,0.0,0.0127,2.837,-0.0127,0.043619,0.999048,0
11,0.1833,0.0,0.0158,2.8212,-0.0158,0.047978,0.998848,0
12,0.2,0.0,0.0117,2.8095,-0.0117,0.052336,0.99863,0
13,0.2167,0.0,0.0146,2.7949,-0.0146,0.056693,0.998392,0
14,0.2333,0.0,0.0137,2.7812,-0.0137,0.061049,0.998135,0
15,0.25,0.0,0.0141,2.7671,-0.0141,0.065403,0.997859,0
16,0.2667,0.0,0.017,2.7501,-0.017,0.069756,0.997564,0
17,0.2833,0.0,0.0132,2.7369,-0.0132,0.074108,0.99725,0
18,0.3,0.0,0.0145,2.7224,-0.0145,0.078459,0.996917,0
19,0.3167,0.0,0.0159,2.7065,-0.0159,0.082808,0.996566,0
20,0.3333,0.0,0.015,2.6915,-0.015,0.087156,0.996195,0
21,0.35,0.0,0.0193,2.6722,-0.0193,0.091502,0.995805,0
22,0.3667,0.0,0.0166,2.6556,-0.0166,0.095846,0.995396,0
23,0.3833,0.0,0.0107,2.6449,-0.0107,0.100188,0.994969,0
24,0.4,0.0,0.0148,2.6301,-0.0148,0.104528,0.994522,0
25,0.4167,0.0,0.0155,2.6146,-0.0155,0.108867,0.994056,0
26,0.4333,0.0,0.0149,2.5997,-0.0149,0.113203,0.993572,0
