sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0198,4.9802,-0.0198,0.0,1.0,0
1,0.0167,0.0,0.0199,4.9603,-0.0199,0.004363,0.99999,0
2,0.0333,0.0,0.0234,4.9369,-0.0234,0.008727,0.999962,0
3,0.05,0.0,0.0224,4.9145,-0.0224,0.01309,0.999914,0
4,0.0667,0.0,0.0237,4.8908,-0.0237,0.017452,0.999848,0
5,0.0833,0.0,0.0214,4.8694,-0.0214,0.021815,0.999762,0
6,0.1,0.0,0.0194,4.85,-0.0194,0.026177,0.999657,0
7,0.1167,0.0,0.0186,4.8314,-0.0186,0.030539,0.999534,0
8,0.1333,0.0,0.0181,4.8133,-0.0181,0.034899,0.999391,0
9,0.15,0.0,0.0216,4.7917,-0.0216,0.03926,0.999229,0
10,0.1667,0.0,0.0228,4.7689,-0.0228,0.043619,0.999048,0
11,0.1833,0.0,0.0203,4.7486,-0.0203,0.047978,0.998848,0
12,0.2,0.0,0.019,4.7296,-0.019,0.052336,0.99863,0
13,0.2167,0.0,0.0206,4.709,-0.0206,0.056693,0.998392,0
14,0.2333,0.0,0.0195,4.6895,-0.0195,0.061049,0.998135,0
15,0.25,0.0,0.0257,4.6638,-0.0257,0.065403,0.997859,0
16,0.2667,0.0,0.0162,4.6476,-0.0162,0.069756,0.997564,0
17,0.2833,0.0,0.0221,4.6255,-0.0221,0.074108,0.99725,0
18,0.3,0.0,0.0209,4.6046,-0.0209,0.078459,0.996917,0
19,0.3167,0.0,0.0217,4.5829,-0.0217,0.082808,0.996566,0
20,0.3333,0.0,0.0213,4.5616,-0.0213,0.087156,0.996195,0
21,0.35,0.0,0.0207,4.5409,-0.0207,0.091502,0.995805,0
22,0.3667,0.0,0.0208,4.5201,-0.0208,0.095846,0.995396,0
23,0.3833,0.0,0.0211,4.499,-0.0211,0.100188,0.994969,0
24,0.4,0.0,0.0214,4.4776,-0.0214,0.104528,0.994522,0
